"EPIC_CONCEPT_CODE","EPIC_CONCEPT_NAME","ICD10_CONCEPT_CODE","ICD10_CONCEPT_NAME","SNOMED_CONCEPT_CODE","SNOMED_CONCEPT_NAME","HAND_MAP_STATUS","SOURCES","COMMENT"
"532652","Lumbago with sciatica, left side",,,"16839401000119104",Low back pain co-occurrent with neuralgia of left sciatic nerve,MISSING,MANUAL MAPPINGS,
"532669","Nonrheumatic aortic valve disorder, unspecified",,,"8722008",Aortic valve disorder,MISSING,MANUAL MAPPINGS,
"532975",Short stature (child),,,"735643002",Short stature of childhood,MISSING,MANUAL MAPPINGS,
"533391","Lumbago with sciatica, right side",,,"313501000119105",Lumbago co-occurrent with right-side sciatica,MISSING,MANUAL MAPPINGS,
"534565",Malignant neoplasm of unspecified site of unspecified female breast,,,"372064008",Malignant neoplasm of female breast,MISSING,MANUAL MAPPINGS,
"535187",Nonrheumatic mitral (valve) insufficiency,,,"194978002",Non-rheumatic mitral regurgitation,MISSING,MANUAL MAPPINGS,
"535466","Unilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent",,,"42140004",Bilateral recurrent inguinal hernia with gangrene and obstruction,MISSING,MANUAL MAPPINGS,
"536384",Varicose veins of bilateral lower extremities with pain,,,"15631821000119100",Pain co-occurrent and due to varicose veins of bilateral legs,MISSING,MANUAL MAPPINGS,
"537254",Malignant neoplasm of unspecified site of left female breast,,,"353431000119107",Primary malignant neoplasm of female left breast,MISSING,MANUAL MAPPINGS,
"255915",Right shoulder pain,,,"15917011000119100",Pain of right shoulder joint,MISSING,MANUAL MAPPINGS,
"256163",Chronic left shoulder pain,,,"45326000",Shoulder pain,MISSING,MANUAL MAPPINGS,
"256165",Chronic right shoulder pain,,,"15917011000119100",Pain of right shoulder joint,MISSING,MANUAL MAPPINGS,
"256231",Bilateral leg edema,,,"816181009",Bilateral lower limb edema,MISSING,MANUAL MAPPINGS,
"256259",Family history of early CAD,,,"203261000000108",Family history of coronary heart disease,MISSING,MANUAL MAPPINGS,
"256439",Lumbar facet arthropathy,,,"428671008",Arthropathy of lumbar facet joint,MISSING,MANUAL MAPPINGS,
"257417","Chronic migraine without aura, with intractable migraine, so stated, with status migrainosus",,,"124161000119104",Chronic migraine without aura with status migrainosus,MISSING,MANUAL MAPPINGS,
"257613",Multiple myeloma in relapse,,,"452291000124109",Relapse multiple myeloma,MISSING,MANUAL MAPPINGS,
"336373",BPH with obstruction/lower urinary tract symptoms,,,"30041000119101",Lower urinary tract symptoms due to benign prostatic hypertrophy,MISSING,MANUAL MAPPINGS,
"336688",Male urinary stress incontinence,,,"444620007",Male urinary stress incontinence,MISSING,MANUAL MAPPINGS,
"337921",Menorrhagia with regular cycle,,,"302757007",Regular periods,MISSING,MANUAL MAPPINGS,
"338043",Malignant neoplasm of right breast,,,"353511000119101",Primary malignant neoplasm of female right breast,MISSING,MANUAL MAPPINGS,
"341448",Age-related osteoporosis without current pathological fracture,,,"276661002",Primary osteoporosis,MISSING,MANUAL MAPPINGS,
"447727",Chronic migraine,,,"427419006",Transformed migraine,MISSING,MANUAL MAPPINGS,
"453373",Normal labor,,,"35874009",Normal labor,MISSING,MANUAL MAPPINGS,
"456106",Term birth of infant,,,"21243004",Term birth of newborn,MISSING,MANUAL MAPPINGS,
"901613",Acute viral syndrome,,,"409631000",Acute viral disease,MISSING,MANUAL MAPPINGS,
"901747",Chronic hepatitis C without hepatic coma,,,"435101000124104",Chronic viral hepatitis C with hepatic coma,MISSING,MANUAL MAPPINGS,
"903989",S/P TAVR (transcatheter aortic valve replacement),,,"1231000119100",History of aortic valve replacement,MISSING,MANUAL MAPPINGS,
"300589",Nuclear sclerotic cataract of both eyes,,,"359766000",Nuclear sclerotic cataract,MISSING,MANUAL MAPPINGS,
"301428",Severe aortic stenosis,,,"233863001",Senile aortic stenosis,MISSING,MANUAL MAPPINGS,
"302009",Bilateral carotid artery stenosis,,,"787044009",Bilateral stenosis of carotid arteries,MISSING,MANUAL MAPPINGS,
"302023",Bilateral carpal tunnel syndrome,,,"12265501000119101",Bilateral carpal tunnel syndrome,MISSING,MANUAL MAPPINGS,
"355783",Myopia of both eyes,,,"345061000119109",Bilateral myopia of eyes,MISSING,MANUAL MAPPINGS,
"420404","MDD (major depressive disorder), recurrent episode, moderate",,,"191611001","Recurrent major depressive episodes, moderate",MISSING,MANUAL MAPPINGS,
"422262",H/O seasonal allergies,,,"444316004",Seasonal allergy,MISSING,MANUAL MAPPINGS,
"521970",Unspecified abdominal pain,,,"304542004",Nonspecific abdominal pain,MISSING,MANUAL MAPPINGS,
"522016","Body mass index (BMI) 35.0-35.9, adult",,,"914731000000107",Obese class II (body mass index 35.0 - 39.9),MISSING,MANUAL MAPPINGS,
"522017","Body mass index (BMI) 36.0-36.9, adult",,,"443381000124105",Obese class II,MISSING,MANUAL MAPPINGS,
"522018","Body mass index (BMI) 37.0-37.9, adult",,,"443381000124105",Obese class II,MISSING,MANUAL MAPPINGS,
"522398",Diverticulosis of large intestine without perforation or abscess without bleeding,,,"724538004",Diverticulosis of large intestine,MISSING,MANUAL MAPPINGS,
"523065","Body mass index (BMI) 31.0-31.9, adult",,,"443371000124107",Obese class I,MISSING,MANUAL MAPPINGS,
"523066","Body mass index (BMI) 32.0-32.9, adult",,,"443371000124107",Obese class I,MISSING,MANUAL MAPPINGS,
"523233","Body mass index (BMI) 33.0-33.9, adult",,,"443371000124107",Obese class I,MISSING,MANUAL MAPPINGS,
"523234","Body mass index (BMI) 34.0-34.9, adult",,,"443371000124107",Obese class I,MISSING,MANUAL MAPPINGS,
"527664",Other pulmonary embolism without acute cor pulmonale,,,"706870000",Acute pulmonary embolism,MISSING,MANUAL MAPPINGS,
"594793","Allergic reaction, initial encounter",,,"419076005",Allergic reaction,MISSING,MANUAL MAPPINGS,
"1198725","Malignant neoplasm of urinary bladder, unspecified site",,,"399326009",Malignant tumor of urinary bladder,MISSING,MANUAL MAPPINGS,
"1390838","Mitral valve insufficiency, unspecified etiology",,,"48724000",Mitral valve regurgitation,MISSING,MANUAL MAPPINGS,
"1390847","Upper respiratory tract infection, unspecified type",,,"54150009",Upper respiratory infection,MISSING,MANUAL MAPPINGS,
"1390904","Cerebrovascular accident (CVA), unspecified mechanism",,,"230690007",Cerebrovascular accident,MISSING,MANUAL MAPPINGS,
"174023",Elevated cholesterol,,,"61336008",Hypocholesterolemia,MISSING,MANUAL MAPPINGS,
"176579",Hypogonadism male,,,"48723006",Male hypogonadism,MISSING,MANUAL MAPPINGS,
"178698",MR (mitral regurgitation),,,"48724000",Mitral valve regurgitation,MISSING,MANUAL MAPPINGS,
"178776",Multiple thyroid nodules,,,"237570007",Multinodular goiter,MISSING,MANUAL MAPPINGS,
"181000",Prostate CA,,,"399068003",Malignant tumor of prostate,MISSING,MANUAL MAPPINGS,
"183691",UTI (lower urinary tract infection),,,"4009004",Lower urinary tract infectious disease,MISSING,MANUAL MAPPINGS,
"192604",Hypertriglyceridemia,,,"302870006",Hypertriglyceridemia,MISSING,MANUAL MAPPINGS,
"197986",Speech delay,,,"229721007",Speech delay,MISSING,MANUAL MAPPINGS,
"310510",Near syncope,,,"427461000",Near syncope,MISSING,MANUAL MAPPINGS,
"428748",Bilateral edema of lower extremity,,,"816181009",Bilateral lower limb edema,MISSING,MANUAL MAPPINGS,
"430785",Multiple benign nevi,,,"402555001",Multiple benign melanocytic nevi,MISSING,MANUAL MAPPINGS,
"926415","Carotid atherosclerosis, bilateral",,,"284861000119104",Bilateral atherosclerosis of carotid arteries,MISSING,MANUAL MAPPINGS,
